,timestamp,rurality,s1 score,s2 score,s3 score,uw gamsat,w gamsat,offer uni,offer uni gpa,offer uni gamsat,offer uni place type,offer uni preference,interviewed?,interview uni,interview uni gpa,interview uni gamsat,places selected,interview uni preference,deakin bonus,anu bonus,mq bonus (gpa),casper quartile,uq rmp tier,uq type,gemsas over other?,interview opinion,notes,year,interview prep hours,other rejections,status
508,30/10/2023 12:43:25,Rural,58,55,59,57.33,57.75,The University of Queensland (CQ-WB RMP),6.3,57.33,CSP,1.0,,,,,CSP,,0,0,0,,Tier 2,,Yes,Poorly,,2023,0-5,,
509,30/10/2023 12:43:41,Non-Rural,56,73,73,67.33,68.75,,,,,,,The University of Notre Dame Fremantle,6.3,67.33,"CSP, BMP",6.0,0,0,0,3rd,,,,Unsure,,2023,6-10,,
510,30/10/2023 12:46:08,Rural,71,81,70,74.0,73.0,Deakin University,6.44,73.0,BMP,1.0,,,,,BMP,,8,0,0,,,,Yes,Well,,2023,6-10,,
511,30/10/2023 12:46:09,Non-Rural,65,71,65,67.0,66.5,,,,,,,The University of Notre Dame Fremantle,6.68,67.0,"CSP, BMP, FFP",2.0,0,0,0,3rd,,,,Well,,2023,11-25,"Griffith, MQ, UWA, UoW",
512,30/10/2023 12:46:53,Rural,71,86,80,79.0,79.25,The University of Queensland (DD MP),6.906,79.0,CSP,1.0,,,,,"CSP, BMP",,0,0,0,,Tier 2,,Yes,Well,,2023,101-250,,
513,30/10/2023 12:47:04,Non-Rural,71,70,66,69.0,68.25,Macquarie University,6.81,68.25,FFP,5.0,,,,,"CSP, BMP, FFP",,0,0,0,3rd,,,Yes,Very well,,2023,11-25,,
514,30/10/2023 12:49:11,Non-Rural,62,66,74,67.33,69.0,Deakin University,6.99,69.0,CSP,1.0,,,,,"CSP, BMP, FFP",,4,2,0,4th,,,Yes,Well,,2023,11-25,,
515,30/10/2023 12:50:38,Non-Rural,54,75,78,69.0,71.25,Deakin University,6.917,71.25,BMP,3.0,,The University of Notre Dame Sydney,6.833,69.0,"CSP, BMP, FFP",1.0,0,0,0,3rd,,,No,Well,,2023,26-50,Griffith,
516,30/10/2023 12:52:37,Non-Rural,68,69,81,72.67,74.75,Deakin University,6.94,74.75,CSP,4.0,,The University of Queensland (Greater Brisbane),6.68,72.67,"CSP, BMP",3.0,4,0,0,,,,Yes,Unsure,,2023,250+,,
517,30/10/2023 12:52:50,Non-Rural,63,69,85,72.33,75.5,,,,,,,The University of Queensland (DD MP),6.75,72.33,"CSP, BMP, FFP",2.0,0,0,0,2nd,Tier 3,,,Very poorly,,2023,0-5,"ANU, Griffith, UNDS, UWA",
518,30/10/2023 12:56:45,Non-Rural,71,68,77,72.0,73.25,The University of Melbourne,6.925,72.0,CSP,1.0,,,,,"CSP, BMP",,0,0,0,2nd,,,Unsure,Unsure,,2023,26-50,,
519,30/10/2023 12:56:53,Non-Rural,64,82,74,73.33,73.5,The University of Melbourne,6.88,73.33,CSP,1.0,,,,,CSP,,0,0,0,,,,Yes,Unsure,,2023,26-50,,
520,30/10/2023 12:57:54,Non-Rural,58,75,63,65.33,64.75,Macquarie University,6.9,64.75,FFP,1.0,,,,,FFP,,0,0,3,4th,,,Yes,Well,,2023,51-100,,
521,30/10/2023 12:58:52,Non-Rural,67,77,69,71.0,70.5,,,,,,,The University of Wollongong,5.5,70.5,"CSP, BMP, FFP",2.0,0,0,0,2nd,,,,Well,,2023,11-25,"ANU, Deakin, Griffith, UniMelb",
522,30/10/2023 12:58:57,Non-Rural,70,78,84,77.33,79.0,The University of Melbourne,7.0,77.33,CSP,1.0,,,,,CSP,,0,0,0,,,,Unsure,Unsure,,2023,11-25,,
523,30/10/2023 13:00:36,Rural,60,65,64,63.0,63.25,,,,,,,The University of Notre Dame Sydney,6.896,63.0,"CSP, BMP",1.0,6,0,0,1st,,,,Unsure,,2023,6-10,"ANU, Deakin, Griffith, UniMelb, UoW",
524,30/10/2023 13:01:35,Non-Rural,68,65,65,66.0,65.75,Deakin University,6.953,65.75,CSP,3.0,,The University of Notre Dame Sydney,6.953,66.0,"CSP, BMP",2.0,0,0,0,3rd,,,Unsure,Very well,,2023,26-50,,
525,30/10/2023 13:01:57,Non-Rural,54,73,81,69.33,72.25,Griffith University,6.913,72.25,CSP,1.0,,,,,CSP,,0,0,0,4th,,,Yes,Well,,2023,250+,,
526,30/10/2023 13:04:08,Non-Rural,62,68,72,67.33,68.5,The University of Queensland (CQ-WB RMP),6.786,67.33,CSP,3.0,,,,,"CSP, BMP, FFP",,2,0,0,4th,Tier 3,,Yes,Poorly,"Preference #1 UQ Darling Downs first, got Rocky.",2023,26-50,,
