,uni,offer type,postgrad,gpa,gamsat,combo score
1728,Griffith University,CSP,,6.65,67.0,1.62
1729,Griffith University,CSP,,6.79,65.0,1.62
1730,Griffith University,CSP,,6.85,65.0,1.628571428
1731,Griffith University,CSP,,6.81,66.0,1.632857142
1732,Griffith University,CSP,,6.85,67.0,1.648571428
1733,Griffith University,CSP,,6.93,67.0,1.66
1734,Griffith University,CSP,,6.88,69.0,1.672857142
1735,Griffith University,CSP,PhD,7.0,61.0,1.61
1736,Griffith University,Othe,,6.68,65.0,1.604285714
1737,Griffith University,Othe,,6.9,62.0,1.605714285
1738,Griffith University,Othe,,6.98,65.0,1.647142857
1739,Griffith University,Othe,,6.98,66.0,1.657142857
1741,Monash University,BMP,Honours,6.45,63.0,1.551428571
1742,Monash University,BMP,Honours,5.99,70.0,1.555714285
1743,Monash University,BMP,Honours,6.59,67.0,1.611428571
1744,Monash University,BMP,,6.15,69.0,1.568571428
1745,Monash University,CSP,,5.73,69.0,1.508571428
1746,Monash University,CSP,,6.5,60.0,1.528571428
1747,Monash University,CSP,,5.95,69.0,1.54
1748,Monash University,CSP,,6.19,69.0,1.574285714
1749,Monash University,CSP,,6.0,72.0,1.577142857
1750,Monash University,CSP,,6.32,68.0,1.582857142
1751,Monash University,CSP,,6.32,68.0,1.582857142
1752,Monash University,CSP,,6.0,74.0,1.597142857
1753,Monash University,CSP,,6.38,70.0,1.611428571
1754,Monash University,CSP,,6.14,75.0,1.627142857
1755,Monash University,CSP,,6.26,74.0,1.634285714
1756,Monash University,CSP,,6.85,72.0,1.698571428
1766,University of Melbourne,BMP,Honours,6.8,67.0,1.641428571
1768,University of Melbourne,BMP,,6.33,67.0,1.574285714
1769,University of Melbourne,BMP,,6.36,68.0,1.588571428
1770,University of Melbourne,BMP,,6.84,63.0,1.607142857
1771,University of Melbourne,BMP,,6.7,67.0,1.627142857
1772,University of Melbourne,BMP,,6.8,67.0,1.641428571
1773,University of Melbourne,BMP,,6.74,68.0,1.642857142
1774,University of Melbourne,BMP,,6.99,65.0,1.648571428
1775,University of Melbourne,BMP,,6.7,70.0,1.657142857
1776,University of Melbourne,BMP,,6.85,68.0,1.658571428
1777,University of Melbourne,BMP,,7.0,66.0,1.66
1778,University of Melbourne,BMP,,6.94,68.0,1.671428571
1779,University of Melbourne,BMP,,6.77,72.0,1.687142857
1780,University of Melbourne,BMP,,6.77,72.0,1.687142857
1781,University of Melbourne,CSP,Masters (coursework),6.66,72.0,1.671428571
1783,University of Melbourne,CSP,,6.99,60.0,1.598571428
1784,University of Melbourne,CSP,,7.0,60.0,1.6
1785,University of Melbourne,CSP,,6.64,69.0,1.638571428
1786,University of Melbourne,CSP,,6.44,72.0,1.64
1787,University of Melbourne,CSP,,6.9,66.0,1.645714285
1788,University of Melbourne,CSP,,6.85,67.0,1.648571428
1789,University of Melbourne,CSP,,6.72,69.0,1.65
1790,University of Melbourne,CSP,,6.53,72.0,1.652857142
1791,University of Melbourne,CSP,,6.68,70.0,1.654285714
1792,University of Melbourne,CSP,,6.68,70.0,1.654285714
1793,University of Melbourne,CSP,,6.62,71.0,1.655714285
1794,University of Melbourne,CSP,,6.78,69.0,1.658571428
1795,University of Melbourne,CSP,,6.3,76.0,1.66
1796,University of Melbourne,CSP,,6.78,70.0,1.668571428
1797,University of Melbourne,CSP,,6.94,68.0,1.671428571
1798,University of Melbourne,CSP,,6.98,68.0,1.677142857
1799,University of Melbourne,CSP,,6.8,73.0,1.701428571
1800,University of Melbourne,CSP,,6.88,72.0,1.702857142
1801,University of Melbourne,CSP,,6.97,71.0,1.705714285
1802,University of Melbourne,CSP,,6.86,73.0,1.71
1803,University of Melbourne,CSP,,6.98,72.0,1.717142857
1804,University of Melbourne,CSP,,6.57,78.0,1.718571428
1805,University of Melbourne,CSP,,6.99,72.0,1.718571428
1806,University of Melbourne,CSP,,6.9,74.0,1.725714285
1807,University of Melbourne,CSP,,6.93,74.0,1.73
1808,University of Melbourne,CSP,,6.97,74.0,1.735714285
1809,University of Melbourne,CSP,,6.91,75.0,1.737142857
1810,University of Melbourne,CSP,,6.91,75.0,1.737142857
1811,University of Melbourne,CSP,,6.89,76.0,1.744285714
1812,University of Melbourne,CSP,,6.9,76.0,1.745714285
1813,University of Melbourne,CSP,,7.0,75.0,1.75
1814,University of Melbourne,CSP,,6.96,76.0,1.754285714
1815,University of Melbourne,CSP,,7.0,77.0,1.77
1816,University of Melbourne,CSP,,7.0,77.0,1.77
1842,University of Notre Dame Fremantle,BMP,,6.9,60.0,1.585714285
1843,University of Notre Dame Fremantle,BMP,,6.87,63.0,1.611428571
1844,University of Notre Dame Fremantle,CSP,Honours,5.8,69.0,1.518571428
1845,University of Notre Dame Fremantle,CSP,Honours,6.8,62.0,1.591428571
1846,University of Notre Dame Fremantle,CSP,Honours,6.9,61.0,1.595714285
1848,University of Notre Dame Fremantle,CSP,Masters (coursework),6.19,66.0,1.544285714
1849,University of Notre Dame Fremantle,CSP,Masters (coursework),6.88,66.0,1.642857142
1850,University of Notre Dame Fremantle,CSP,,6.48,61.0,1.535714285
1851,University of Notre Dame Fremantle,CSP,,6.47,62.0,1.544285714
1852,University of Notre Dame Fremantle,CSP,,6.48,64.0,1.565714285
1853,University of Notre Dame Fremantle,CSP,,6.72,63.0,1.59
1854,University of Notre Dame Fremantle,CSP,,6.8,62.0,1.591428571
1863,University of Notre Dame Sydney,BMP,Honours,6.47,63.0,1.554285714
1864,University of Notre Dame Sydney,CSP,Honours,6.21,65.0,1.537142857
1865,University of Notre Dame Sydney,CSP,Honours,6.21,65.0,1.537142857
1866,University of Notre Dame Sydney,CSP,Honours,6.9,62.0,1.605714285
1867,University of Notre Dame Sydney,CSP,Masters (research),6.71,64.0,1.598571428
1868,University of Notre Dame Sydney,CSP,,6.59,58.0,1.521428571
1869,University of Notre Dame Sydney,CSP,,6.59,58.0,1.521428571
1870,University of Notre Dame Sydney,CSP,,6.22,65.0,1.538571428
1871,University of Notre Dame Sydney,CSP,,6.22,65.0,1.538571428
1872,University of Notre Dame Sydney,CSP,,6.56,62.0,1.557142857
1873,University of Notre Dame Sydney,CSP,,6.44,65.0,1.57
1874,University of Notre Dame Sydney,CSP,,6.76,62.0,1.585714285
1875,University of Notre Dame Sydney,CSP,,6.64,65.0,1.598571428
1876,University of Notre Dame Sydney,CSP,,6.59,66.0,1.601428571
1877,University of Notre Dame Sydney,CSP,,6.82,66.0,1.634285714
1904,University of Queensland,BMP,Honours,6.0,68.0,1.537142857
1905,University of Queensland,BMP,Honours,6.48,69.0,1.615714285
1906,University of Queensland,BMP,Honours,6.7,68.0,1.637142857
1907,University of Queensland,BMP,,5.63,70.0,1.504285714
1908,University of Queensland,BMP,,5.64,70.0,1.505714285
1909,University of Queensland,BMP,,6.19,69.0,1.574285714
1910,University of Queensland,BMP,,6.25,69.0,1.582857142
1911,University of Queensland,BMP,,6.29,69.0,1.588571428
1912,University of Queensland,BMP,,6.79,69.0,1.66
1913,University of Queensland,BMP,,6.96,68.0,1.674285714
1914,University of Queensland,BMP,,7.0,68.0,1.68
1915,University of Queensland,CSP,Honours,6.54,74.0,1.674285714
1916,University of Queensland,CSP,Honours,6.54,74.0,1.674285714
1917,University of Queensland,CSP,Masters (coursework),6.8,74.0,1.711428571
1918,University of Queensland,CSP,,5.2,70.0,1.442857142
1919,University of Queensland,CSP,,6.2,60.0,1.485714285
1920,University of Queensland,CSP,,5.4,72.0,1.491428571
1921,University of Queensland,CSP,,5.4,72.0,1.491428571
1922,University of Queensland,CSP,,5.77,73.0,1.554285714
1923,University of Queensland,CSP,,6.0,72.0,1.577142857
1924,University of Queensland,CSP,,6.2,72.0,1.605714285
1925,University of Queensland,CSP,,6.76,70.0,1.665714285
1926,University of Queensland,CSP,,6.7,71.0,1.667142857
1927,University of Queensland,CSP,,6.56,74.0,1.677142857
1928,University of Queensland,CSP,,6.8,76.0,1.731428571
1929,University of Queensland,CSP,,6.4,95.0,1.864285714
1930,University of Queensland,CSP,PhD,7.0,79.0,1.79
1945,University of Sydney,BMP,Honours,6.3,72.0,1.62
1946,University of Sydney,BMP,,5.5,67.0,1.455714285
1947,University of Sydney,BMP,,5.56,69.0,1.484285714
1948,University of Sydney,BMP,,5.61,71.0,1.511428571
1949,University of Sydney,BMP,,5.61,71.0,1.511428571
1950,University of Sydney,BMP,,6.0,67.0,1.527142857
1951,University of Sydney,BMP,,5.32,78.0,1.54
1952,University of Sydney,BMP,,5.32,78.0,1.54
1953,University of Sydney,BMP,,5.92,70.0,1.545714285
1954,University of Sydney,BMP,,6.23,70.0,1.59
1955,University of Sydney,BMP,,6.23,70.0,1.59
1956,University of Sydney,BMP,,6.72,68.0,1.64
1957,University of Sydney,CSP,Honours,6.22,68.0,1.568571428
1958,University of Sydney,CSP,Honours,5.94,72.0,1.568571428
1959,University of Sydney,CSP,Honours,6.35,72.0,1.627142857
1960,University of Sydney,CSP,Honours,6.24,74.0,1.631428571
1961,University of Sydney,CSP,Honours,6.74,69.0,1.652857142
1962,University of Sydney,CSP,Honours,6.56,72.0,1.657142857
1963,University of Sydney,CSP,Honours,6.41,76.0,1.675714285
1964,University of Sydney,CSP,Masters (coursework),6.08,68.0,1.548571428
1965,University of Sydney,CSP,,5.21,68.0,1.424285714
1966,University of Sydney,CSP,,5.5,68.0,1.465714285
1967,University of Sydney,CSP,,5.12,74.0,1.471428571
1968,University of Sydney,CSP,,5.47,69.0,1.471428571
1969,University of Sydney,CSP,,5.7,69.0,1.504285714
1970,University of Sydney,CSP,,6.02,66.0,1.52
1971,University of Sydney,CSP,,5.35,76.0,1.524285714
1972,University of Sydney,CSP,,5.56,73.0,1.524285714
1973,University of Sydney,CSP,,5.5,74.0,1.525714285
1974,University of Sydney,CSP,,5.94,68.0,1.528571428
1975,University of Sydney,CSP,,5.83,70.0,1.532857142
1976,University of Sydney,CSP,,5.81,71.0,1.54
1977,University of Sydney,CSP,,5.77,74.0,1.564285714
1978,University of Sydney,CSP,,5.7,76.0,1.574285714
1979,University of Sydney,CSP,,6.27,70.0,1.595714285
1980,University of Sydney,CSP,,6.07,74.0,1.607142857
1981,University of Sydney,CSP,,6.58,67.0,1.61
1982,University of Sydney,CSP,,6.64,68.0,1.628571428
1983,University of Sydney,CSP,,6.65,68.0,1.63
1984,University of Sydney,CSP,,6.35,74.0,1.647142857
1985,University of Sydney,CSP,,6.81,68.0,1.652857142
1986,University of Sydney,CSP,,6.61,72.0,1.664285714
1987,University of Sydney,CSP,,6.7,72.0,1.677142857
1988,University of Sydney,CSP,,6.04,82.0,1.682857142
1989,University of Sydney,CSP,,6.94,70.0,1.691428571
1990,University of Sydney,CSP,,7.0,75.0,1.75
1991,University of Sydney,CSP,,6.94,79.0,1.781428571
1992,University of Sydney,CSP,,6.94,79.0,1.781428571
1993,University of Sydney,CSP,PhD,5.64,82.0,1.625714285
2017,University of Western Australia,BMP,Honours,6.73,65.0,1.611428571
2018,University of Western Australia,BMP,Honours,6.66,68.0,1.631428571
2019,University of Western Australia,BMP,Honours,6.78,67.0,1.638571428
2020,University of Western Australia,BMP,,6.65,60.0,1.55
2021,University of Western Australia,BMP,,6.2,68.0,1.565714285
2022,University of Western Australia,BMP,,6.77,63.0,1.597142857
2023,University of Western Australia,BMP,,6.71,64.0,1.598571428
2024,University of Western Australia,BMP,,7.0,60.0,1.6
2025,University of Western Australia,BMP,,6.83,63.0,1.605714285
2026,University of Western Australia,BMP,,6.46,70.0,1.622857142
2027,University of Western Australia,BMP,,6.98,63.0,1.627142857
2028,University of Western Australia,BMP,,6.74,67.0,1.632857142
2029,University of Western Australia,BMP,,6.55,70.0,1.635714285
2030,University of Western Australia,BMP,,6.5,72.0,1.648571428
2031,University of Western Australia,BMP,,6.65,70.0,1.65
2032,University of Western Australia,CSP,Honours,6.49,70.0,1.627142857
2033,University of Western Australia,CSP,,6.83,63.0,1.605714285
2034,University of Western Australia,CSP,,6.75,66.0,1.624285714
2035,University of Western Australia,CSP,,6.69,70.0,1.655714285
2036,University of Western Australia,CSP,,6.73,70.0,1.661428571
2037,University of Western Australia,CSP,,6.69,73.0,1.685714285
2038,University of Western Australia,CSP,,7.0,70.0,1.7
2047,University of Wollongong,BMP,,5.78,60.0,1.425714285
2048,University of Wollongong,CSP,Honours,5.75,60.0,1.421428571
2049,University of Wollongong,CSP,Honours,6.09,66.0,1.53
2050,University of Wollongong,CSP,Masters (coursework),6.5,55.0,1.478571428
2051,University of Wollongong,CSP,,6.3,57.0,1.47
2052,University of Wollongong,CSP,,6.83,61.0,1.585714285
2053,University of Wollongong,CSP,PhD,6.51,63.0,1.56
2071,Australian National University,BMP,,5.88,81.0,1.65
2072,Australian National University,BMP,,6.44,67.0,1.59
2073,Australian National University,CSP,,6.93,69.0,1.68
2074,Australian National University,CSP,,6.95,68.0,1.672857143
2075,Australian National University,CSP,,7.0,66.0,1.66
2076,Australian National University,CSP,,6.8,67.0,1.641428571
2077,Australian National University,CSP,,6.82,66.0,1.634285714
2078,Australian National University,CSP,,6.79,66.0,1.63
2079,Australian National University,CSP,,6.91,64.0,1.627142857
2080,Australian National University,CSP,,6.54,69.0,1.624285714
2081,Australian National University,CSP,,6.42,69.0,1.607142857
2082,Australian National University,CSP,,6.67,65.0,1.602857143
2083,Australian National University,CSP,,6.43,68.0,1.598571429
2084,Australian National University,CSP,,6.82,62.0,1.594285714
2085,Australian National University,CSP,,6.06,71.0,1.575714286
2086,Australian National University,CSP,,6.53,62.0,1.552857143
2091,Deakin University,BMP,,6.67,67.0,1.622857143
2092,Deakin University,BMP,,6.57,63.0,1.568571429
2093,Deakin University,BMP,,6.71,61.0,1.568571429
2094,Deakin University,BMP,,5.75,70.0,1.521428571
2098,Deakin University,CSP,,6.75,69.0,1.654285714
2099,Deakin University,CSP,,6.7,68.0,1.637142857
2100,Deakin University,CSP,,6.69,67.0,1.625714286
2101,Deakin University,CSP,,6.81,65.0,1.622857143
