,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
111,Non-Rural,53,63,86,Griffith University,6.9,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Ath,0,0.0,0.0,0.0,0.0,0.0,0
112,Non-Rural,60,72,65,The University of Western Australia,6.875,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3rd,0,0.0,0.0,0.0,0.0,0.0,0
113,Non-Rural,66,72,70,The University of Notre Dame Sydney,6.458,Deakin University,6.458,,,,,,,,,,,4th,0,Did not apply,0.0,0.0,0.0,0.0,0
114,Non-Rural,67,72,54,,,The University of Wollongong,59,The University of Notre Dame Sydney,6.1,Macquarie University,6.1,,,,,,,2nd,0,0.0,0.0,0.0,0.0,0.0,3
115,Non-Rural,70,67,68,The University of Queensland (RMP/DDMP),7,,,,,,,,,,,,,3rd,0,0.0,0.0,0.0,Tier 3,Toowoomba,0
116,Non-Rural,67,81,67,The University of Notre Dame Sydney,65,Australian National University,6.607,,,,,,,,,,,4th,0,0.0,0.0,0.0,0.0,0.0,0
117,Rural,66,70,61,Griffith University,6.625,,,,,,,,,,,,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
118,Rural,60,58,55,Deakin University,5.885,,,,,,,,,,,,,0.0,10,Tier 4,0.0,0.0,0.0,0.0,0
119,Non-Rural,60,68,65,The University of Notre Dame Fremantle,6.9,,,,,,,,,,,,,4th,0,0.0,0.0,0.0,0.0,0.0,0
120,Non-Rural,68,62,70,Deakin University,6.917,,,,,,,,,,,,,0.0,6,Did not apply,0.0,0.0,0.0,0.0,0
121,No   ural,59,68,1,,,The University of Wollongong,6.1,The University of Melbourne,6.1,The University of Notre Dame Fremantle,6.1,Deakin University,6.1,,,,,4th,2,Did not apply,Yes,0.0,0.0,0.0,2
122,Non-Rural,63,63,84,The University of Notre Dame Sydney,6.607,The University of Melbourne,6.579,Deakin University,6.607,,,,,,,,,3rd,0,Did not apply,Yes,0.0,0.0,0.0,0
123,Non-Rural,57,57,70,,,Deakin University,65,The University of Wollongong,65,Australian National University,65,Griffith University,65,The University of Notre Dame Sydney,65,The University of Wollongong,65,Ast,0,Did not apply,0.0,0.0,0.0,0.0,0
124,Non-Rural,58,68,61,,,Deakin University,6.854,The University of Wollongong,6.854,Griffith University,6.729,The University of Notre Dame Sydney,6.854,Australian National University,6.854,The University of Notre Dame Fremantle,6.854,4th,0,Did not apply,0.0,0.0,0.0,0.0,0
125,Non-Rural,66,75,98,Australian National University,6.2,The University of Melbourne,6.063,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,Yes,0.0,0.0,0.0,0
126,Non-Rural,66,52,78,Australian National University,6.903,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2nd,0,0.0,0.0,0.0,0.0,0.0,0
127,Non-Rural,68,80,73,The University of Notre Dame Sydney,6.802,The University of Wollongong,6.802,,,0.0,,0.0,,0.0,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,1
128,Rural,59,60,74,The University of Western Australia,6.7,,,,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0
129,Non-Rural,77,75,71,The University of Melbourne,6.895,,,,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,No,0.0,0.0,0.0,0
130,Non-Rural,69,63,86,The University of Melbourne,6.955,,,,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,No,0.0,0.0,0.0,0
131,Non-Rural,56,73,74,The University of Western Australia,6.958,,,,,0.0,,0.0,,0.0,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,0
132,Non-Rural,70,65,69,The University of Notre Dame Fremantle,6.371,,,,,0.0,,0.0,,0.0,,0.0,,4th,0,0.0,0.0,0.0,0.0,0.0,0
133,Rural,64,71,63,The University of Melbourne,5.85,,,,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,Yes,0.0,0.0,0.0,0
134,Rural,57,72,55,The University of Queensland (RMP/DDMP),5.85,,,,,0.0,,0.0,,0.0,,0.0,,0.0,0,0.0,0.0,0.0,Tier 2,Toowoomba,0
135,Rural,65,64,65,The University of Notre Dame Sydney,6.01,,,,,0.0,,0.0,,0.0,,0.0,,2nd,0,0.0,0.0,0.0,0.0,0.0,0
136,Non-Rural,65,79,62,The University of Melbourne,6.963,,,,,0.0,,0.0,,0.0,,0.0,,4th,0,0.0,No,0.0,0.0,0.0,0
137,Non-Rural,69,78,78,,,The University of Melbourne,6.6,Deakin University,6.3,0.0,,0.0,,0.0,,0.0,,0.0,0,Did not apply,Yes,0.0,0.0,0.0,0
