,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
135,Non-Rural,71,65,95,0,0,0,The University of Queensland,7,The University of Notre Dame Sydney,5.56,0.0,,0.0,,0.0,,0.0,,0.0,
136,Rural,67,73,60,0,0,0,The University of Notre Dame Sydney,65,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
137,Non-Rural,62,73,69,4,0,0,Deakin University,6.885,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
138,Rural,63.,53,1,0,0,0,Griffith University,6.3,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
139,Non-Rural,82,68,84,0,2,2,,6.586,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
140,Non-Rural,68,74,88,2,0,0,The University of Melbourne,6.917,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
141,Non-Rural,74,71,68,2,0,0,The University of Wollongong,55,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
142,Non-Rural,67,64,95,2,0,0,The University of Melbourne,6.708,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
143,Non-Rural,68,72,86,0,0,0,The University of Melbourne,6.495,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
144,Non-Rural,57,62,60,0,4,4,The University of Notre Dame Sydney,6.906,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
145,Non-Rural,62,76,95,0,0,0,The University of Melbourne,6.8,The University of Melbourne,6.888,0.0,,0.0,,0.0,,0.0,,0.0,
146,Non-Rural,73,86,68,2,2,2,The University of Melbourne,6.913,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
147,Non-Rural,73,67,86,2,0,0,The University of Melbourne,6.978,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
148,Rural,77,71,67,8,0,0,The University of Melbourne,6.398,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
149,Non-Rural,71,58,95,0,0,0,The University of Melbourne,6.877,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
150,Non-Rural,69,70,78,0,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
151,Non-Rural,69,77,89,0,0,0,The University of Melbourne,6.854,The University of Queensland,6.57,0.0,,0.0,,0.0,,0.0,,0.0,
152,Non-Rural,69,63.,79,6,0,0,Deakin University,6.573,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
153,Non-Rural,66,75,73,6,0,0,,6.96,The University of Notre Dame Sydney,6.313,0.0,,0.0,,0.0,,0.0,,0.0,
154,Non-Rural,65,61,76,0,0,0,0.0,,0.0,,The University of Western Australia,,0.0,,0.0,6.644,0.0,,0.0,6.644
155,Rural,58,60,62,4,0,0,The University of Queensland,6.216,The University of Notre Dame Fremantle,6.679,0.0,,0.0,6.679,0.0,,0.0,6.653,0.0,
156,Non-Rural,62,72,82,0,0,0,The University of Melbourne,6.8,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
157,Non-Rural,65,79,62,2,0,0,The University of Melbourne,6.963,0.0,,Australian National University,,0.0,,0.0,,0.0,,0.0,
158,Non-Rural,65,77,73,0,0,0,The University of Melbourne,6.8,The University of Notre Dame Sydney,6.969,0.0,,0.0,6.938,0.0,,0.0,,0.0,
159,Non-Rural,67,86,82,0,0,0,The University of Melbourne,6.32,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
160,Non-Rural,64,61,85,0,0,0,Australian National University,6.99,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
161,Non-Rural,63.,80,65,0,0,0,The University of Melbourne,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
162,Non-Rural,63.,85,71,0,0,0,The University of Melbourne,6.8333,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
163,Non-Rural,64,57,75,2,0,0,Griffith University,7,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
164,Non-Rural,54,66,80,0,0,0,The University of Western Australia,6.741,0.0,,The University of Western Australia,,0.0,,0.0,6.688,0.0,,0.0,6.741
165,Non-Rural,65,74,72,0,0,0,The University of Melbourne,7,The University of Notre Dame Fremantle,6.737,0.0,,0.0,6.737,0.0,,0.0,6.656,0.0,
166,Non-Rural,66,79,70,0,0,0,rsity of Melbourne,6.82,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
167,Non-Rural,79,76,76,0,0,0,0.0,6.11,0.0,,The University of Notre Dame Fremantle,,0.0,,0.0,,0.0,,0.0,
