Residency,University,Offer type,Postgrad,Rural?,GPA,GAMSAT,GPA/7 + GAMSAT/100,Year,Deakin Bonus,Melbourne Access,,,,,,,,
Local,Deakin University,Other,None,No,6.97,65,1.645714286,2015,,,,,,,,,,
Local,Deakin University,Other,None,No,6.8,65,1.621428571,2015,,,,,,,,,,
Local,Deakin University,Other,None,No,6.7,66,1.617142857,2015,,,,,,,,,,
Local,Deakin University,Other,None,No,6.55,68,1.615714286,2015,,,,,,,,,,
Local,Deakin University,Other,None,No,6.79,64,1.61,2015,,,,,,,,,,
Local,Deakin University,Other,None,No,6.75,64,1.604285714,2015,,,,,,,,,,
Local,Deakin University,Other,None,No,6.69,64,1.595714286,2015,,,,,,,,,,
Local,Deakin University,Other,None,No,6.78,62,1.588571429,2015,,,,,,,,,,
Local,Deakin University,Other,None,No,6.89,60,1.584285714,2015,,,,,,,,,,
Local,Deakin University,Other,None,No,6.5,65,1.578571429,2015,,,,,,,,,,
Local,Deakin University,BMP,None,Yes,6.75,55,1.514285714,2015,,,,,,,,,,
Local,Deakin University,BMP,None,Yes,6.03,60,1.461428571,2015,,,,,,,,,,
Local,Deakin University,CSP,None,Yes,6.49,59,1.517142857,2015,,,,,,,,,,
Local,Deakin University,MRBS,None,Yes,6.95,61,1.602857143,2015,,,,,,,,,,
Local,Deakin University,MRBS,None,Yes,6.3,65,1.55,2015,,,,,,,,,,
Local,Deakin University,Other,None,Yes,6.15,65,1.528571429,2015,,,,,,,,,,
Local,Flinders University,BMP,None,No,6.72,60,1.56,2015,,,,,,,,,,
Local,Flinders University,BMP,None,No,6.57,60,1.538571429,2015,,,,,,,,,,
Local,Flinders University,BMP,None,No,5.37,70,1.467142857,2015,,,,,,,,,,
Local,Flinders University,CSP,None,No,6.95,67,1.662857143,2015,,,,,,,,,,
Local,Flinders University,CSP,None,No,6.99,65,1.648571429,2015,,,,,,,,,,
Local,Flinders University,CSP,None,No,6.4,73,1.644285714,2015,,,,,,,,,,
Local,Flinders University,CSP,Yes,No,6.89,65,1.634285714,2015,,,,,,,,,,
Local,Flinders University,CSP,None,No,6.7,65,1.607142857,2015,,,,,,,,,,
Local,Flinders University,CSP,None,No,6.56,66,1.597142857,2015,,,,,,,,,,
Local,Flinders University,CSP,None,No,6.44,67,1.59,2015,,,,,,,,,,
Local,Flinders University,CSP,None,No,6.35,68,1.587142857,2015,,,,,,,,,,
Local,Flinders University,CSP,Yes,No,6.63,62,1.567142857,2015,,,,,,,,,,
Local,Flinders University,CSP,None,No,6.4,65,1.564285714,2015,,,,,,,,,,
Local,Flinders University,CSP,None,No,6.2,67,1.555714286,2015,,,,,,,,,,
Local,Flinders University,CSP,None,No,6,68,1.537142857,2015,,,,,,,,,,
Local,Flinders University,CSP,None,No,6.02,66,1.52,2015,,,,,,,,,,
Local,Flinders University,CSP,None,No,5.75,64,1.461428571,2015,,,,,,,,,,
Local,Flinders University,BMP,None,Yes,6.8,63,1.601428571,2015,,,,,,,,,,
Local,Flinders University,CSP,None,Yes,6.97,66,1.655714286,2015,,,,,,,,,,
Local,Flinders University,CSP,None,Yes,6.7,63,1.587142857,2015,,,,,,,,,,
Local,Flinders University,CSP,None,Yes,6.2,59,1.475714286,2015,,,,,,,,,,
Local,Flinders University,CSP,None,Yes,5.9,59,1.432857143,2015,,,,,,,,,,
Local,Griffith University,BMP,None,No,6.75,66,1.624285714,2015,,,,,,,,,,
Local,Griffith University,BMP,None,No,6.65,64,1.59,2015,,,,,,,,,,
Local,Griffith University,BMP,None,No,6.65,63,1.58,2015,,,,,,,,,,
Local,Griffith University,BMP,None,No,6.81,60,1.572857143,2015,,,,,,,,,,
Local,Griffith University,CSP,None,No,6.89,67,1.654285714,2015,,,,,,,,,,
Local,Griffith University,CSP,None,No,6.7,68,1.637142857,2015,,,,,,,,,,
Local,Griffith University,CSP,None,No,6.96,62,1.614285714,2015,,,,,,,,,,
Local,Griffith University,CSP,None,No,6.6,67,1.612857143,2015,,,,,,,,,,
Local,Griffith University,CSP,None,No,6.76,64,1.605714286,2015,,,,,,,,,,
Local,Griffith University,CSP,None,No,6.92,61,1.598571429,2015,,,,,,,,,,
Local,Griffith University,CSP,None,No,6.99,58,1.578571429,2015,,,,,,,,,,
Local,Griffith University,CSP,None,No,6.68,62,1.574285714,2015,,,,,,,,,,
Local,Griffith University,FFP,None,No,6.46,64,1.562857143,2015,,,,,,,,,,
Local,Griffith University,CSP,None,Yes,6.94,60,1.591428571,2015,,,,,,,,,,
Local,Griffith University,CSP,Yes,Yes,7,57,1.57,2015,,,,,,,,,,
Local,Griffith University,CSP,None,Yes,6.55,60,1.535714286,2015,,,,,,,,,,
Local,Monash University,CSP,None,No,6.35,80,1.707142857,2015,,,,,,,,,,
Local,Monash University,CSP,None,No,6.79,69,1.66,2015,,,,,,,,,,
Local,Monash University,CSP,None,No,6.73,68,1.641428571,2015,,,,,,,,,,
Local,Monash University,CSP,None,No,6.74,67,1.632857143,2015,,,,,,,,,,
Local,Monash University,CSP,None,No,6.3,72,1.62,2015,,,,,,,,,,
Local,Monash University,CSP,None,No,6.46,69,1.612857143,2015,,,,,,,,,,
Local,Monash University,CSP,None,No,6.19,71,1.594285714,2015,,,,,,,,,,
Local,Monash University,CSP,None,No,6.3,69,1.59,2015,,,,,,,,,,
Local,Monash University,CSP,None,No,6.3,68,1.58,2015,,,,,,,,,,
Local,Monash University,CSP,None,No,6.02,70,1.56,2015,,,,,,,,,,
Local,Monash University,CSP,None,No,5.91,70,1.544285714,2015,,,,,,,,,,
Local,Monash University,CSP,None,No,5.7,68,1.494285714,2015,,,,,,,,,,
Local,Monash University,CSP,None,No,5.69,68,1.492857143,2015,,,,,,,,,,
Local,Monash University,BMP,None,Yes,6.32,64,1.542857143,2015,,,,,,,,,,
Local,Monash University,BMP,None,Yes,6.5,59,1.518571429,2015,,,,,,,,,,
Local,Monash University,BMP,None,Yes,6.28,62,1.517142857,2015,,,,,,,,,,
Local,Monash University,BMP,None,Yes,6.1,60,1.471428571,2015,,,,,,,,,,
Local,Monash University,CSP,None,Yes,5.52,63,1.418571429,2015,,,,,,,,,,
Local,University of Melbourne,BMP,None,No,6.76,75,1.715714286,2015,,,,,,,,,,
Local,University of Melbourne,BMP,None,No,6.96,68,1.674285714,2015,,,,,,,,,,
Local,University of Melbourne,BMP,None,No,6.72,71,1.67,2015,,,,,,,,,,
Local,University of Melbourne,BMP,None,No,6.76,69,1.655714286,2015,,,,,,,,,,
Local,University of Melbourne,BMP,None,No,6.73,68,1.641428571,2015,,,,,,,,,,
Local,University of Melbourne,BMP,None,No,6.9,65,1.635714286,2015,,,,,,,,,,
Local,University of Melbourne,BMP,None,No,6.67,67,1.622857143,2015,,,,,,,,,,
Local,University of Melbourne,BMP,None,No,6.8,65,1.621428571,2015,,,,,,,,,,
Local,University of Melbourne,BMP,None,No,6.8,64,1.611428571,2015,,,,,,,,,,
Local,University of Melbourne,BMP,None,No,6.48,68,1.605714286,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,7,83,1.83,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.69,87,1.825714286,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,7,77,1.77,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,7,76,1.76,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.98,74,1.737142857,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.92,74,1.728571429,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.98,73,1.727142857,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.74,76,1.722857143,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.77,75,1.717142857,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.96,72,1.714285714,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.95,72,1.712857143,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.73,75,1.711428571,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.85,73,1.708571429,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.84,72,1.697142857,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.88,71,1.692857143,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.77,72,1.687142857,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.69,73,1.685714286,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.95,69,1.682857143,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.65,73,1.68,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.99,68,1.678571429,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.83,70,1.675714286,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.88,69,1.672857143,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.89,68,1.664285714,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.85,67,1.648571429,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.74,68,1.642857143,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.67,68,1.632857143,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.66,68,1.631428571,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.35,70,1.607142857,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.7,65,1.607142857,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,No,6.75,64,1.604285714,2015,,,,,,,,,,
Local,University of Melbourne,FFP,None,No,6.6,71,1.652857143,2015,,,,,,,,,,
Local,University of Melbourne,FFP,None,No,6.68,63,1.584285714,2015,,,,,,,,,,
Local,University of Melbourne,FFP,None,No,6.5,65,1.578571429,2015,,,,,,,,,,
Local,University of Melbourne,FFP,None,No,6.46,63,1.552857143,2015,,,,,,,,,,
Local,University of Melbourne,FFP,None,No,6.16,66,1.54,2015,,,,,,,,,,
Local,University of Melbourne,MRBS,None,No,6.98,78,1.777142857,2015,,,,,,,,,,
Local,University of Melbourne,Other,None,No,6.8,67,1.641428571,2015,,,,,,,,,,
Local,University of Melbourne,BMP,None,Yes,6.57,67,1.608571429,2015,,,,,,,,,,
Local,University of Melbourne,BMP,None,Yes,6.61,62,1.564285714,2015,,,,,,,,,,
Local,University of Melbourne,BMP,None,Yes,5.51,72,1.507142857,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,Yes,6.75,75,1.714285714,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,Yes,6.67,70,1.652857143,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,Yes,6.72,68,1.64,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,Yes,6.93,63,1.62,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,Yes,6.97,62,1.615714286,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,Yes,6.04,71,1.572857143,2015,,,,,,,,,,
Local,University of Melbourne,CSP,None,Yes,5.89,67,1.511428571,2015,,,,,,,,,,
Local,University of Newcastle,BMP,None,No,5,96,1.674285714,2015,,,,,,,,,,
Local,University of Notre Dame Fremantle,BMP,None,No,6.41,61,1.525714286,2015,,,,,,,,,,
Local,University of Notre Dame Fremantle,BMP,None,No,6,66,1.517142857,2015,,,,,,,,,,
Local,University of Notre Dame Fremantle,BMP,None,No,5.97,59,1.442857143,2015,,,,,,,,,,
Local,University of Notre Dame Fremantle,BMP,None,No,5.8,61,1.438571429,2015,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.93,70,1.69,2015,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.23,74,1.63,2015,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.85,62,1.598571429,2015,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.99,59,1.588571429,2015,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.6,62,1.562857143,2015,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.86,58,1.56,2015,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.69,60,1.555714286,2015,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.4,64,1.554285714,2015,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.58,60,1.54,2015,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.1,66,1.531428571,2015,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.14,64,1.517142857,2015,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.66,55,1.501428571,2015,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.37,59,1.5,2015,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,6.12,60,1.474285714,2015,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,5.75,63,1.451428571,2015,,Yes,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,No,5.8,60,1.428571429,2015,,yes,,,,,,,,
Local,University of Notre Dame Fremantle,FFP,None,No,6.57,61,1.548571429,2015,,,,,,,,,,
Local,University of Notre Dame Fremantle,FFP,None,No,6.45,60,1.521428571,2015,,,,,,,,,,
Local,University of Notre Dame Fremantle,BMP,None,Yes,6.94,59,1.581428571,2015,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,Yes,6.48,54,1.465714286,2015,,,,,,,,,,
Local,University of Notre Dame Fremantle,CSP,None,Yes,6.21,55,1.437142857,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,BMP,None,No,6.75,60,1.564285714,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,BMP,None,No,6.7,59,1.547142857,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,BMP,None,No,6.9,53,1.515714286,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,BMP,None,No,6.2,58,1.465714286,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,6.99,61,1.608571429,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,6.5,66,1.588571429,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,6.29,68,1.578571429,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,6.53,63,1.562857143,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,6.64,60,1.548571429,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,6.72,58,1.54,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,6.27,64,1.535714286,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,6.54,59,1.524285714,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,6.37,60,1.51,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,6.21,59,1.477142857,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,No,6.14,58,1.457142857,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,6.98,65,1.647142857,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,6.92,63,1.618571429,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,6.52,67,1.601428571,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,6.5,64,1.568571429,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,Yes,No,6.84,59,1.567142857,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,6.62,61,1.555714286,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,6.83,58,1.555714286,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,6.75,57,1.534285714,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,6.49,60,1.527142857,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,6.2,61,1.495714286,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,6,61,1.467142857,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,5.9,62,1.462857143,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,No,5.7,61,1.424285714,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,BMP,None,Yes,6.74,56,1.522857143,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,Yes,6.43,60,1.518571429,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,Yes,6.85,53,1.508571429,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,Yes,6.13,58,1.455714286,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,CSP,None,Yes,6,59,1.447142857,2015,,,,,,,,,,
Local,University of Notre Dame Sydney,FFP,None,Yes,6.56,54,1.477142857,2015,,,,,,,,,,
Local,University of Queensland,BMP,None,No,6.51,73,1.66,2015,,,,,,,,,,
Local,University of Queensland,BMP,None,No,6.95,65,1.642857143,2015,,,,,,,,,,
Local,University of Queensland,BMP,None,No,6.47,69,1.614285714,2015,,,,,,,,,,
Local,University of Queensland,BMP,None,No,6.28,66,1.557142857,2015,,,,,,,,,,
Local,University of Queensland,BMP,None,No,5.9,69,1.532857143,2015,,,,,,,,,,
Local,University of Queensland,BMP,None,No,5.5,66,1.445714286,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.7,85,1.807142857,2015,,,,,,,,,,
Local,University of Queensland,CSP,Yes,No,7,78,1.78,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,7,73,1.73,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.83,75,1.725714286,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,7,71,1.71,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.5,78,1.708571429,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,7,70,1.7,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.56,76,1.697142857,2015,,Yes,,,,,,,,
Local,University of Queensland,CSP,None,No,6.48,76,1.685714286,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.8,71,1.681428571,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.61,72,1.664285714,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.89,68,1.664285714,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.6,72,1.662857143,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.81,69,1.662857143,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.23,77,1.66,2015,,,,,,,,,,
Local,University of Queensland,CSP,Yes,No,7,66,1.66,2015,,,,,,,,,,
Local,University of Queensland,CSP,Yes,No,7,66,1.66,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.67,70,1.652857143,2015,,Yes,,,,,,,,
Local,University of Queensland,CSP,None,No,6.5,72,1.648571429,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.5,72,1.648571429,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.7,69,1.647142857,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.3,74,1.64,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.68,68,1.634285714,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.38,72,1.631428571,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.48,69,1.615714286,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.15,73,1.608571429,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.5,68,1.608571429,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.5,67,1.598571429,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.11,72,1.592857143,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.25,70,1.592857143,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.45,66,1.581428571,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.4,66,1.574285714,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.1,69,1.561428571,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.1,69,1.561428571,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.31,66,1.561428571,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,5.9,71,1.552857143,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.24,66,1.551428571,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,5.6,75,1.55,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,5.88,71,1.55,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,5.75,72,1.541428571,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.03,68,1.541428571,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6.07,67,1.537142857,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,6,67,1.527142857,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,5.5,74,1.525714286,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,5.7,71,1.524285714,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,5.74,69,1.51,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,5.24,73,1.478571429,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,5.23,73,1.477142857,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,5.5,69,1.475714286,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,5.11,74,1.47,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,5.35,70,1.464285714,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,5.45,68,1.458571429,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,No,5.1,72,1.448571429,2015,,,,,,,,,,
Local,University of Queensland,BMP,None,Yes,6.71,60,1.558571429,2015,,,,,,,,,,
Local,University of Queensland,BMP,None,Yes,6.44,61,1.53,2015,,,,,,,,,,
Local,University of Queensland,BMP,None,Yes,6.11,65,1.522857143,2015,,,,,,,,,,
Local,University of Queensland,BMP,None,Yes,6.03,65,1.511428571,2015,,,,,,,,,,
Local,University of Queensland,BMP,None,Yes,6.1,64,1.511428571,2015,,,,,,,,,,
Local,University of Queensland,BMP,None,Yes,6,63,1.487142857,2015,,,,,,,,,,
Local,University of Queensland,BMP,None,Yes,6,62,1.477142857,2015,,,,,,,,,,
Local,University of Queensland,BMP,None,Yes,5.43,69,1.465714286,2015,,,,,,,,,,
Local,University of Queensland,BMP,None,Yes,5.4,64,1.411428571,2015,,,,,,,,,,
Local,University of Queensland,BMP,None,Yes,5.2,65,1.392857143,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,Yes,7,72,1.72,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,Yes,6.66,64,1.591428571,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,Yes,6,67,1.527142857,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,Yes,5.77,69,1.514285714,2015,,,,,,,,,,
Local,University of Queensland,CSP,None,Yes,5.46,71,1.49,2015,,,,,,,,,,
Local,University of Sydney,BMP,None,No,6.84,72,1.697142857,2015,,,,,,,,,,
Local,University of Sydney,BMP,None,No,6.6,71,1.652857143,2015,,,,,,,,,,
Local,University of Sydney,BMP,None,No,6.44,72,1.64,2015,,,,,,,,,,
Local,University of Sydney,BMP,None,No,7,64,1.64,2015,,,,,,,,,,
Local,University of Sydney,BMP,None,No,6.58,69,1.63,2015,,,,,,,,,,
Local,University of Sydney,BMP,Yes,No,6.65,65,1.6,2015,,,,,,,,,,
Local,University of Sydney,BMP,None,No,6,70,1.557142857,2015,,,,,,,,,,
Local,University of Sydney,BMP,None,No,6.03,69,1.551428571,2015,,,,,,,,,,
Local,University of Sydney,BMP,None,No,5.88,71,1.55,2015,,,,,,,,,,
Local,University of Sydney,BMP,None,No,5.94,70,1.548571429,2015,,,,,,,,,,
Local,University of Sydney,BMP,None,No,6,69,1.547142857,2015,,,,,,,,,,
Local,University of Sydney,BMP,None,No,5.9,69,1.532857143,2015,,,,,,,,,,
Local,University of Sydney,BMP,None,No,5.4,71,1.481428571,2015,,,,,,,,,,
Local,University of Sydney,BMP,Yes,No,5.5,69,1.475714286,2015,,,,,,,,,,
Local,University of Sydney,BMP,None,No,5.35,70,1.464285714,2015,,,,,,,,,,
Local,University of Sydney,BMP,None,No,5.04,74,1.46,2015,,,,,,,,,,
Local,University of Sydney,BMP,None,No,5.25,69,1.44,2015,,,,,,,,,,
Local,University of Sydney,BMP,None,No,5,70,1.414285714,2015,,,,,,,,,,
Local,University of Sydney,BMP,Yes,No,4,58,1.151428571,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,7,77,1.77,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.3,85,1.75,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.4,80,1.714285714,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.35,80,1.707142857,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.84,73,1.707142857,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.96,71,1.704285714,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.8,73,1.701428571,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.29,80,1.698571429,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.56,76,1.697142857,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.92,70,1.688571429,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6,83,1.687142857,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6,83,1.687142857,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.77,71,1.677142857,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.61,72,1.664285714,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.76,69,1.655714286,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.75,69,1.654285714,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.67,70,1.652857143,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.5,72,1.648571429,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.71,69,1.648571429,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.52,71,1.641428571,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.19,75,1.634285714,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.49,70,1.627142857,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.48,69,1.615714286,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6.23,71,1.6,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6,72,1.577142857,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.89,73,1.571428571,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,6,71,1.567142857,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.85,70,1.535714286,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.7,72,1.534285714,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.83,70,1.532857143,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.89,69,1.531428571,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.67,72,1.53,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.4,75,1.521428571,2015,,,,,,,,,,
Local,University of Sydney,CSP,None,No,5.67,71,1.52,2015,,,,,,,,,,
