,Rurality,University,GPA,GAMSAT,Final Combo Score,Raw Combo Score,Deakin Bonus,ANU Bonus,MQ Bonus (GPA),Notes,
152,Non-Rural,Griffith University,6.646,70.5,1.65442857142857,1.65442857142857,0,0,0,-,
153,Non-Rural,Griffith University,6.272,75.75,1.6535,1.6535,0,2,0,-,
154,Non-Rural,Griffith University,7,65,1.65,1.65,0,0,0,-,
155,Non-Rural,Griffith University,6.75,68.5,1.64928571428571,1.64928571428571,0,0,0,Forgot to submit Notre Dame portfolio lol,
156,Non-Rural,Griffith University,6.938,65.75,1.64864285714286,1.64864285714286,2,0,0,-,
157,Non-Rural,Griffith University,6.619,70.25,1.64807142857143,1.64807142857143,0,0,0,-,
158,Non-Rural,Griffith University,6.931,65.75,1.64764285714286,1.64764285714286,0,0,0,BHMS(A) grad,
159,Non-Rural,Griffith University,6.563,71,1.64757142857143,1.64757142857143,0,0,0,-,
160,Non-Rural,Griffith University,6.875,66.5,1.64714285714286,1.64714285714286,0,0,0,GAM,
161,Non-Rural,Griffith University,6.75,68.25,1.64678571428571,1.64678571428571,0,0,0,Coursework Master completed,
162,Non-Rural,Griffith University,6.644,69.5,1.64414285714286,1.64414285714286,0,0,0,"WA resident, decent portfolio with Fraser's Portfolio Course",
163,Non-Rural,Griffith University,7,64,1.64,1.64,0,4,0,-,
164,Non-Rural,Griffith University,6.875,65.75,1.63964285714286,1.63964285714286,0,0,0,-,
165,Non-Rural,Griffith University,7,63.5,1.635,1.635,0,0,0,-,
166,Non-Rural,Griffith University,6.615,69,1.635,1.635,0,0,0,-,
167,Non-Rural,Griffith University,6.792,66,1.63028571428571,1.63028571428571,0,0,0,-,
168,Non-Rural,Griffith University,6.417,71.25,1.62921428571429,1.62921428571429,2,0,0,-,
169,Non-Rural,Griffith University,6.958,63.25,1.6265,1.6265,2,0,0,average portfolio,
170,Non-Rural,Griffith University,6.833,65,1.62614285714286,1.62614285714286,2,0,3,-,
171,Non-Rural,Griffith University,6.958,63,1.624,1.624,0,0,0,"GAM, below average portfolio",
172,Non-Rural,Griffith University,6.465,70,1.62357142857143,1.62357142857143,0,0,0,Non-WA resident,
173,Non-Rural,Griffith University,6.479,69.5,1.62057142857143,1.62057142857143,6,0,0,-,
174,Non-Rural,Griffith University,6.396,70.5,1.61871428571429,1.61871428571429,4,0,0,-,
175,Non-Rural,Griffith University,6.73,65,1.61142857142857,1.61142857142857,0,0,0,WA resident,
176,Non-Rural,Griffith University,6.917,61.75,1.60564285714286,1.60564285714286,0,0,3,-,
177,Non-Rural,Griffith University,6.738,64,1.60257142857143,1.60257142857143,2,0,0,-,
178,Non-Rural,Griffith University,6.57,66.25,1.60107142857143,1.60107142857143,0,0,0,strong portfolio,
179,Non-Rural,Griffith University,6.3,69.75,1.5975,1.5975,0,0,0,Decent portfolio,
180,Non-Rural,Griffith University,6.903,61,1.59614285714286,1.59614285714286,0,2,0,"Top quartile CASPER, above average-strong diverse portfolio spread over 12 years of experience.",
181,Non-Rural,Griffith University,6.33,68.75,1.59178571428571,1.59178571428571,6,2,0,-,
182,Non-Rural,Griffith University,6.397,67.75,1.59135714285714,1.59135714285714,0,0,0,-,
183,Non-Rural,Griffith University,6.688,63.25,1.58792857142857,1.58792857142857,4,0,0,-,
184,Non-Rural,Griffith University,6.3,68.75,1.5875,1.5875,0,0,0,-,
185,Non-Rural,Griffith University,6.675,63,1.58357142857143,1.58357142857143,0,0,0,-,
186,Non-Rural,Griffith University,6.73,62,1.58142857142857,1.58142857142857,2,2,0,Above average portfolio,
187,Non-Rural,Griffith University,6.5,65.25,1.58107142857143,1.58107142857143,0,0,0,-,
188,Non-Rural,Griffith University,6.714,62,1.57914285714286,1.57914285714286,4,0,0,-,
189,Non-Rural,Griffith University,6.43,65.75,1.57607142857143,1.57607142857143,6,2,0,thought I had a strong portfolio,
190,Non-Rural,Griffith University,6.533,64.25,1.57578571428571,1.57578571428571,2,0,0,I assumed my portfolio was good to at least get an interview offer.,
191,Non-Rural,Griffith University,6,70.5,1.56214285714286,1.56214285714286,0,2,0,-,
192,Non-Rural,Griffith University,6.396,64.5,1.55871428571429,1.55871428571429,4,0,0,-,
