,Timestamp,Rurality,University,Final Combo,GPA,GAMSAT,Raw Combo,CASPer Quartile,ANU Bonuses,Deakin Bonus,MQ Bonus,Deakin RTS Tier,Unimelb GAM,UNDF Bonuses,UNDS Bonuses,UQ MP/RMP Tier + Location,UoW Bonuses,Notes,Outlier
86,30/08/2024 13:16:11,Non-Rural,Deakin University,1.545708,6.198,63,1.5154,4th,2,2,0,Did not apply,,,None,Tier 3,Rockhampton,1,
87,30/08/2024 14:46:01,Non-Rural,Deakin University,1.5436,6.5,61.5,1.5436,4th,0,0,0,Did not apply,,,None,,,2,
88,30/08/2024 18:11:10,Non-Rural,Deakin University,1.5368,5.875,69.75,1.5368,3rd,0,0,0,Did not apply,No,,None,Tier 3,Rockhampton,2,
89,30/08/2024 12:33:10,Non-Rural,Deakin University,1.472778,6.1,57.25,1.4439,4th,0,2,0,Did not apply,Yes,WA Res,,,,2,
90,30/08/2024 11:42:57,Non-Rural,Deakin University,1.44883714285714,5.813,59,1.42042857142857,2nd,0,2,0,Did not apply,Yes,,,,,1,
91,30/08/2024 11:55:35,Non-Rural,Griffith University,1.6463,6.869,66.5,1.6463,3rd,0,0,0,Did not apply,,None,None,Tier 3,Toowoomba,0,
92,01/09/2024 17:29:57,Non-Rural,Griffith University,1.64571428571429,6.9,66,1.64571428571429,3rd,0,0,0,,,,,,,0,No
93,30/08/2024 11:42:51,Non-Rural,Griffith University,1.6454,6.6,70.25,1.6454,3rd,0,2,0,Did not apply,,None,None,,,1,
94,02/09/2024 08:38:31,Non-Rural,Griffith University,1.645,6.51,71.5,1.645,3rd,0,0,0,,,,,Tier 3,Toowoomba,0,
95,30/08/2024 13:00:58,Non-Rural,Griffith University,1.642,6.979,64.5,1.642,N/A,0,0,0,,,,,Tier 3,Rockhampton,0,no
96,30/08/2024 19:01:21,Non-Rural,Griffith University,1.6411,6.85,66.25,1.6411,N/A,0,0,0,Did not apply,,,,,,0,
97,30/08/2024 12:55:56,Non-Rural,Griffith University,1.64,6.65,69,1.64,N/A,0,4,0,Did not apply,No,,,Tier 3,Toowoomba,0,
98,31/08/2024 10:46:30,Non-Rural,Griffith University,1.64,7,64,1.64,N/A,0,0,0,Did not apply,No,,,,,0,
99,30/08/2024 23:16:59,Non-Rural,Griffith University,1.63857142857143,6.85,66,1.63857142857143,4th,0,0,0,,,,,Tier 3,Toowoomba,0,
100,30/08/2024 20:27:17,Non-Rural,Griffith University,1.6366,6.906,65,1.6366,4th,0,0,0,,,,None,,,1,
101,01/09/2024 10:45:14,Non-Rural,Griffith University,1.636,6.377,72.5,1.636,3rd,0,0,0,,,,,,,0,
