,rurality,s1 score,s2 score,s3 score,deakin bonus,anu bonus,mq bonus,notes,interview?,interview uni,interview uni gpa,interview uni gamsat,pref 1 uni,pref 1 gpa,pref 1 gamsat,pref 2 uni,pref 2 gpa,pref 2 gamsat,pref 3 uni,pref 3 gpa,pref 3 gamsat,pref 4 uni,pref 4 gpa,pref 4 gamsat,pref 5 uni,pref 5 gpa,pref 5 gamsat,pref 6 uni,pref 6 gpa,pref 6 gamsat,year,uq tier,casper quartile,deakin tier,unimelb gam,undf bonuses,unds bonuses,uow bonuses
75,Non-Rural,60,79,67,2,0,0,,Yes,Macquarie University,6.688,68.25,The University of Melbourne,6.5,68.66666667,Deakin University,6.5,68.25,,,,,,,,,,,,,2022,,,,,,,
76,Non-Rural,62,80,62,2,0,0,"strong portfolio, second bottom casper",Yes,The University of Wollongong,5.5,66.5,,,,,,,,,,,,,,,,,,,2022,,,,,,,
77,Non-Rural,70,58,72,4,2,0,,Yes,The University of Notre Dame Fremantle,6.89,66.66666667,Griffith University,6.84,68.0,,,,,,,,,,,,,,,,2022,,,,,,,
78,Rural,60,60,60,0,0,0,very strong portfolio of running volunteer programs and publications,Yes,The University of Notre Dame Fremantle,6.0,60.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
79,Non-Rural,62,64,75,0,2,0,portfolio strength should be at least above average,Yes,The University of Notre Dame Sydney,6.82,67.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
80,Rural,61,57,59,8,0,5,,Yes,The University of Wollongong,5.5,59.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
81,Non-Rural,62,74,70,0,0,3,,Yes,Macquarie University,6.73,69.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
82,Non-Rural,66,75,73,0,0,3,above average portfolio.,Yes,The University of Notre Dame Sydney,6.87,71.33333333,,,,,,,,,,,,,,,,,,,2022,,,,,,,
83,Non-Rural,62,69,77,0,0,0,,Yes,The University of Queensland,6.938,69.33333333,The University of Melbourne,6.854,69.33333333,Deakin University,6.861,71.25,,,,,,,,,,,,,2022,,,,,,,
84,Non-Rural,64,81,64,0,2,0,,Yes,The University of Queensland,7.0,69.66666667,,,,,,,,,,,,,,,,,,,2022,,,,,,,
85,Non-Rural,64,63,74,0,2,0,"student athlete, 2x state championship winner, academic scholar, captain for both sports, chair of fundraising committee, john’s hopkins medical poster presentation, scuba diver, 1st gen immigrant, rural overseas experiences
",Yes,The University of Notre Dame Sydney,6.1,67.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
86,Non-Rural,60,62,66,0,2,0,,No,,,,The University of Queensland,7.0,62.66666667,The University of Notre Dame Sydney,6.427,62.66666667,The University of Notre Dame Fremantle,6.427,62.66666667,,,,Griffith University,6.135,63.5,Australian National University,6.427,63.5,2022,,,,,,,
87,Non-Rural,56,81,62,0,0,0,,No,,,,Griffith University,6.5,65.25,,,,,,,,,,,,,,,,2022,,,,,,,
88,Non-Rural,59,62,76,0,2,0,gam,Yes,The University of Queensland,7.0,65.66666667,The University of Notre Dame Sydney,6.96,65.66666667,The University of Melbourne,6.92,65.66666667,The University of Queensland,7.0,65.66666667,The University of Notre Dame Fremantle,6.96,65.66666667,Australian National University,6.96,68.25,The University of Wollongong,5.5,68.25,2022,,,,,,,
89,Non-Rural,55,73,74,0,0,0,,Yes,Macquarie University,6.917,69.0,The University of Notre Dame Sydney,6.917,67.33333333,Macquarie University,6.917,69.0,,,,,,,,,,,,,2022,,,,,,,
90,Rural,60,60,65,8,0,3,nsb,Yes,Griffith University,6.167,62.5,,,,,,,,,,,,,,,,,,,2022,,,,,,,
91,Non-Rural,64,70,76,2,0,0,,Yes,The University of Notre Dame Sydney,6.86,70.0,,,,,,,,,,,,,,,,,,,2022,,,,,,,
92,Rural,63,70,56,12,0,0,,Yes,Deakin University,6.5,61.25,,,,,,,,,,,,,,,,,,,2022,,,,,,,
93,Non-Rural,62,61,61,0,0,0,above average portfolio,No,,,,The University of Notre Dame Sydney,6.4,61.33333333,,,,,,,,,,,,,,,,2022,,,,,,,
