THIS FORM IS ONLY FOR:,Year of graduation:,I received an offer from:,Do you have a prior qualification with the same university?:,Preference number of the above university (1st ... 6th):,What was your first preference?:,I interviewed at:,Offer Type (please change):,GPA (as calculated by the university making the offer):,Weighted Average Mark (Monash only):,GAMSAT Section 1 score:,GAMSAT Section 2 score:,GAMSAT Section 3 score:,Overall GAMSAT (as calculated by the university making the offer):,MCAT 8/8/M/8 or other score:,Score type:,Undergraduate degree:,Residency status in Australia:,Highest post graduate qualification?:,Rural candidate?:,Deakin University bonus (total %):,Flinders University candidates only:,Flinders University NT Medical Program (NTMP) applicant?:,University of Melbourne Graduate Access applicant?:,What kind of doctor I want to be when I grow up:
Medical Student,2025,University of Sydney,No,2,University of Melbourne,University of Melbourne,BMP,6.32,-,72,74,61,N/A,,GAMSAT,Bachelor of Biomedicine,Local,None,Yes,4,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Sydney,Yes,1,University of Sydney,University of Sydney,BMP,4.99,-,66,66,67,66,,GAMSAT,Dentistry,International,None,Yes,0,Non-Flinders degree holder,No,No,FRACDS (OMS): Oral and Maxillofacial Surgery
Medical Student,2025,University of Sydney,No,2,University of Melbourne,University of Sydney,FFP,6.8,-,57,65,70,65,,GAMSAT,Biomedicine,International,None,No,0,Non-Flinders degree holder,No,No,FRANZCOG: Obstetrics and Gynaecology
Medical Student,2025,Flinders University,Yes,1,Flinders University,Flinders University,BMP,6.97,-,57,69,71,67,,GAMSAT,Medical Science,Local,None,Yes,0,Parallel Rural Community Curriculum (PRCC),No,No,FRACGP: General Practice
Medical Student,2025,Flinders University,No,1,Flinders University,Flinders University,CSP,5.92,-,80,80,97,87,,GAMSAT,BEng/Bsc,Local,Masters (coursework),No,0,Non-Flinders degree holder,No,No,FRACP: Intensive Care Medicine
Medical Student,2025,Flinders University,Yes,1,Flinders University,Flinders University,CSP,6.72,-,62,64,78,70,,GAMSAT,BSc - Biotechnology,Local,PhD,No,2,Flinders University degree holder,No,No,FRACP: Cardiology
Medical Student,2025,Flinders University,Yes,1,Flinders University,Flinders University,CSP,6.85,-,67,65,86,76,,GAMSAT,Medical Science,Local,None,No,0,Flinders University degree holder,No,No,Guitar rock star
Medical Student,2025,University of Sydney,No,2,Flinders University,Flinders University,BMP,6.28,-,66,72,61,65,,GAMSAT,Commerce,Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Sydney,No,2,University of Sydney,University of Sydney,CSP,5.98,-,82,87,94,88,,GAMSAT,BSci,Local,None,No,0,Non-Flinders degree holder,No,No,FRANZCOG: Obstetrics and Gynaecology
Medical Student,2025,Flinders University,No,1,Flinders University,Flinders University,CSP,6.94,-,84,77,87,84,,GAMSAT,Bachelor of Engineering,Local,Honours,No,0,Non-Flinders degree holder,No,No,FRACP: Cardiology
Medical Student,2025,University of Melbourne,No,2,University of Sydney,University of Sydney,FFP,6.95,-,56,68,82,68,,GAMSAT,BSc,International,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,Australian National University,No,1,University of Sydney,University of Sydney,CSP,6.99,-,62,73,92,80,,GAMSAT,Medical Science,Local,Masters (coursework),No,0,Non-Flinders degree holder,No,No,FAFPHM: Public Health Medicine
