THIS FORM IS ONLY FOR:,Year of graduation:,I received an offer from:,Do you have a prior qualification with the same university?:,Preference number of the above university (1st ... 6th):,What was your first preference?:,I interviewed at:,Offer Type (please change):,GPA (as calculated by the university making the offer):,Weighted Average Mark (Monash only):,GAMSAT Section 1 score:,GAMSAT Section 2 score:,GAMSAT Section 3 score:,Overall GAMSAT (as calculated by the university making the offer):,MCAT 8/8/M/8 or other score:,Score type:,Undergraduate degree:,Residency status in Australia:,Highest post graduate qualification?:,Rural candidate?:,Deakin University bonus (total %):,Flinders University candidates only:,Flinders University NT Medical Program (NTMP) applicant?:,University of Melbourne Graduate Access applicant?:,What kind of doctor I want to be when I grow up:
Medical Student,2025,Deakin University,No,5,University of Wollongong,University of Melbourne,BMP,7,-,65,74,68,68,,GAMSAT,Exercise and Sport Science,Local,None,No,0,Non-Flinders degree holder,No,No,FANZCA: Anaesthesia
Medical Student,2025,University of Notre Dame Sydney,Yes,1,University of Notre Dame Sydney,University of Notre Dame Sydney,FFP,6.14,-,61,62,63,62,,GAMSAT,Medical Science,International,None,No,0,Non-Flinders degree holder,No,No,FANZCA: Anaesthesia
Medical Student,2025,Griffith University,No,2,Monash University,Monash University,FFP,6.5,-,N/A,N/A,N/A,N/A,129/124/129/130,MCAT,Biochemistry,International,None,No,0,Non-Flinders degree holder,No,No,FRACP: Cardiology
Medical Student,2025,Griffith University,Yes,1,Griffith University,Griffith University,CSP,6.97,-,65,69,69,68,,GAMSAT,Bachelor of Sport and Exercise Science,Local,None,Yes,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,Flinders University,No,2,Griffith University,Flinders University,BMP,6.67,-,61,77,75,72,,GAMSAT,Bachelor of Science Adv. Global Challenges (Hons),Local,Honours,No,0,Non-Flinders degree holder,Yes,No,FRACP: Gastroenterology and Hepatology
Medical Student,2025,Flinders University,No,1,Flinders University,Flinders University,CSP,6.04,-,56,88,54,63,,GAMSAT,BHSc/MPhty,Local,Masters (coursework),No,0,Non-Flinders degree holder,Yes,No,FRACS: Urology
Medical Student,2025,University of Notre Dame Fremantle,No,1,University of Notre Dame Fremantle,University of Notre Dame Fremantle,CSP,6.35,-,62,66,63,64,,GAMSAT,Bachelor of Science,Local,Honours,No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,Deakin University,No,2,University of Melbourne,Deakin University,CSP,6.98,-,63,66,77,71,,GAMSAT,Biomed,Local,Honours,No,0,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,Deakin University,Yes,1,Deakin University,Deakin University,BMP,6.6,-,56,57,64,60,,GAMSAT,Biomedical Science,Local,Masters (coursework),Yes,8,Non-Flinders degree holder,No,No,FRACP: Cardiology
Medical Student,2025,University of Notre Dame Fremantle,No,1,University of Notre Dame Fremantle,University of Notre Dame Fremantle,BMP,6.72,-,60,77,73,70,,GAMSAT,Bachelor of Science,Local,Honours,No,0,Flinders University degree holder,No,No,FRACP: Cardiology
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,CSP,6.95,-,62,65,82,70,,GAMSAT,Biomedicine,Local,None,No,2,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,BMP,6.49,-,73,78,89,80,,GAMSAT,Biomedical Science,Local,Honours,Yes,0,Non-Flinders degree holder,No,No,FRACP: Neurology
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,CSP,6.89,-,58,65,87,70,,GAMSAT,Biomedicine,International,None,No,2,Non-Flinders degree holder,No,No,FRACP: General Medicine
Medical Student,2025,Flinders University,No,1,Flinders University,Flinders University,BMP,6.51,-,56,59,82,70,,GAMSAT,B Pharm,Local,Honours,No,4,Non-Flinders degree holder,Yes,No,FACRRM: Rural and Remote Medicine (General Practice)
Medical Student,2025,Australian National University,No,1,Flinders University,Australian National University,CSP,6.82,-,71,64,84,76,,GAMSAT,B Business Management,Local,None,No,0,Non-Flinders degree holder,No,No,FRACS: General Surgery
Medical Student,2025,University of Notre Dame Sydney,No,3,Griffith University,University of Notre Dame Sydney,CSP,7,-,59,71,56,60,,GAMSAT,B. Paramedicine,Local,None,Yes,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,Macquarie University,No,1,University of Melbourne,Macquarie University,FFP,6.95,86,56,52,75,65,,GAMSAT,Biomed,International,None,No,0,Non-Flinders degree holder,No,No,FRACS: Paediatric Surgery
Medical Student,2025,University of Western Australia,No,3,University of Melbourne,University of Queensland,CSP,6.77,-,68,57,83,73,,GAMSAT,Bachelor of Biomedicine,Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,Flinders University,No,1,Flinders University,Flinders University,BMP,6.2,-,66,74,70,70,,GAMSAT,Biomed,Local,None,Yes,0,Non-Flinders degree holder,Yes,No,FACRRM: Rural and Remote Medicine (General Practice)
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,BMP,6.27,-,70,80,80,77,,GAMSAT,Biomed/Philosophy/Literature,Local,None,Yes,0,Non-Flinders degree holder,No,Yes,FACRRM: Rural and Remote Medicine (General Practice)
Medical Student,2025,University of Queensland,No,1,University of Queensland,University of Queensland,FFP,7,-,N/A,N/A,N/A,N/A,515,MCAT,Honours Bachelor of Health Science,International,None,No,0,Non-Flinders degree holder,No,No,FRACS: Cardio-thoracic Surgery
Medical Student,2025,University of Melbourne,Yes,1,University of Melbourne,University of Melbourne,BMP,6.61,-,66,63,65,65,,GAMSAT,Bsci,Local,None,Yes,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,FFP,7,-,N/A,N/A,N/A,N/A,517,MCAT,BSc,International,PhD,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,Griffith University,No,1,Griffith University,Griffith University,CSP,6.95,-,65,79,70,71,,GAMSAT,Biomedical science,International,None,Yes,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Queensland,No,5,University of Melbourne,University of Queensland,CSP,7,-,65,73,63,69,,GAMSAT,Bachelor of Science,Local,Honours,No,0,Non-Flinders degree holder,No,No,FRANCZP: Psychiatry
Medical Student,2025,Flinders University,No,1,Flinders University,Flinders University,BMP,5.07,-,70,69,75,72,,GAMSAT,Engineering (Mech & Aero),Local,None,Yes,0,Parallel Rural Community Curriculum (PRCC),No,No,FACEM: Emergency medicine
Medical Student,2025,Deakin University,No,3,Griffith University,Griffith University,BMP,6.86,-,62,60,80,71,,GAMSAT,Bachelor of Science,Local,None,No,2,Non-Flinders degree holder,No,No,FANZCA: Anaesthesia
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,BMP,5.48,-,71,77,67,72,,GAMSAT,Commerce,Local,None,Yes,0,Non-Flinders degree holder,No,No,FRACP: General Paediatrics
Medical Student,2025,Griffith University,No,1,Griffith University,Griffith University,CSP,6.98,-,61,68,54,59,,GAMSAT,Radiation therapy,Local,Honours,Yes,8,Non-Flinders degree holder,No,No,FRANZCR: Radiation Oncology
Medical Student,2025,University of Notre Dame Sydney,No,1,University of Notre Dame Sydney,University of Sydney,CSP,6.33,-,57,71,72,68,,GAMSAT,Bachelor of Medical Science (Honours),Local,PhD,No,0,Non-Flinders degree holder,No,No,FCICM: Intensive Care Medicine
Medical Student,2025,Flinders University,No,2,Australian National University,Flinders University,FFP,5.87,-,60,55,80,49,,GAMSAT,Electronic Enginerring,International,Honours,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,Other,6.75,-,N/A,N/A,N/A,N/A,,MCAT,Science,International,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,University of Notre Dame Fremantle,Yes,1,University of Notre Dame Fremantle,University of Notre Dame Fremantle,BMP,6.41,-,67,72,56,65,,GAMSAT,Physiotherapy,Local,None,No,0,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,University of Melbourne,No,1,University of Sydney,University of Melbourne,FFP,6.96,-,59,68,83,70,,GAMSAT,Bachelor of Biomedicine,International,None,No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,University of Queensland,No,3,University of Melbourne,University of Queensland,CSP,7,-,61,69,84,71,,GAMSAT,Bachelor of Biomedicine,Local,Honours,No,0,Non-Flinders degree holder,No,No,FRANZCO: Ophthalmology
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,BMP,7,-,N/A,N/A,N/A,N/A,,Other,Psychology/Biomed,Local,Honours,Yes,0,Non-Flinders degree holder,No,Yes,FRACS: Urology
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,BMP,6.31,-,57,64,68,64,,GAMSAT,Bachelor of Pre-medicine,Local,None,Yes,0,Non-Flinders degree holder,No,No,FRANZCR: Diagnostic Radiology
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,CSP,5.5,-,65,55,65,63,,GAMSAT,Bachelor of Biomedical Science,Local,None,Yes,4,Non-Flinders degree holder,No,No,FACD: Dermatology
Medical Student,2025,Flinders University,No,1,Flinders University,Flinders University,BMP,6.03,-,61,59,70,65,,GAMSAT,Bachelor of Mechanical Engineering (Honours),International,None,Yes,0,Parallel Rural Community Curriculum (PRCC),No,No,FRANZCR: Diagnostic Radiology
Medical Student,2025,University of Wollongong,No,2,University of Sydney,University of Wollongong,BMP,6.62,-,63,79,73,72,,GAMSAT,University of Sydney,Local,Honours,No,0,Non-Flinders degree holder,No,No,FRACS: Neurosurgery Surgery
Medical Student,2025,University of Queensland,No,5,University of Melbourne,University of Queensland,BMP,7,-,49,49,49,65,,GAMSAT,B.Sc Honours,Local,Honours,No,2,Non-Flinders degree holder,No,No,FRACS: Neurosurgery Surgery
Medical Student,2025,Flinders University,No,6,University of Melbourne,Flinders University,CSP,7,-,65,64,91,78,,GAMSAT,BBmed,Local,None,No,0,Non-Flinders degree holder,No,No,FRACP: Paediatric Emergency Medicine
Medical Student,2025,University of Western Sydney,No,1,University of Western Sydney,University of Western Sydney,CSP,6.4,-,N/A,N/A,N/A,N/A,,Other,Medical Radiation Sciences,Local,None,No,8,Non-Flinders degree holder,No,No,FRANZCR: Diagnostic Radiology
Medical Student,2025,Flinders University,Yes,2,University of Sydney,University of Sydney,BMP,6.13,-,69,72,92,81,,GAMSAT,Bachelor of Vision Science,International,None,No,0,Flinders University degree holder,No,No,Guitar rock star
Medical Student,2025,University of Queensland,No,1,University of Queensland,University of Queensland,BMP,6.78,-,65,69,71,69,,GAMSAT,BCom/BSci,Local,None,No,0,Flinders University degree holder,No,No,Guitar rock star
Medical Student,2025,University of Melbourne,No,1,University of Melbourne,University of Melbourne,CSP,6.98,88.571,70,69,71,70,,GAMSAT,Bachelor of Science,Local,None,No,2,Non-Flinders degree holder,No,No,FRACS: Plastic and Reconstructive Surgery
Medical Student,2025,Monash University,Yes,1,Monash University,Monash University,CSP,4,92.275,N/A,N/A,N/A,N/A,,GAMSAT,Science,Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,Monash University,No,2,University of Melbourne,Monash University,CSP,7,93,N/A,N/A,N/A,N/A,,GAMSAT,Biomedicine,Local,None,No,2,Non-Flinders degree holder,No,Yes,Guitar rock star
Medical Student,2025,Monash University,Yes,1,Monash University,Monash University,CSP,4.99,83,49,49,49,49,,GAMSAT,BSc,International,None,Yes,0,Non-Flinders degree holder,No,No,FRACP: Medical Oncology
Medical Student,2025,Monash University,Yes,2,University of Melbourne,Monash University,BMP,6.91,84.765,N/A,N/A,N/A,N/A,,GAMSAT,Biomed,Local,None,No,0,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,Monash University,Yes,1,Monash University,Monash University,BMP,6.5,80,60,84,60,49,,GAMSAT,Bachelor of Science,Local,Honours,Yes,6,Non-Flinders degree holder,No,No,FRACP: Infectious Diseases
Medical Student,2025,Monash University,Yes,1,Monash University,Monash University,CSP,6.98,~89,N/A,N/A,N/A,67,,GAMSAT,Biomed,Local,None,No,2,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,Monash University,Yes,1,Monash University,Monash University,CSP,6.98,87.55,N/A,N/A,N/A,N/A,,GAMSAT,Biomed,Local,None,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,Monash University,Yes,1,Monash University,Monash University,CSP,6.98,-85,N/A,N/A,N/A,N/A,,GAMSAT,Bachelor of Biomedical science,Local,Honours,No,0,Non-Flinders degree holder,No,No,FRACP: General Paediatrics
Medical Student,2025,University of Queensland,No,1,University of Queensland,University of Queensland,BMP,6.78,-,60,74,73,69,,GAMSAT,BBiomedSci,Local,None,Yes,0,Non-Flinders degree holder,No,No,FRACP: General Paediatrics
Medical Student,2025,Griffith University,Yes,1,Griffith University,Griffith University,BMP,6.97,-,72,67,67,68,,GAMSAT,Bachelor of Psychology (Honours),Local,Honours,No,0,Flinders University degree holder,No,No,FRANCZP: Psychiatry
Medical Student,2025,University of Queensland,No,2,Griffith University,Griffith University,BMP,6.67,-,68,63,58,62,,GAMSAT,"Psychology, Exercise Science, and Nursing Science",Local,None,Yes,0,Non-Flinders degree holder,No,No,FRACP: Cardiology
Medical Student,2025,Monash University,Yes,1,Monash University,Monash University,BMP,6.5,79,N/A,N/A,N/A,N/A,,GAMSAT,Science,Local,None,Yes,0,Non-Flinders degree holder,No,No,FRANZCOG: Obstetrics and Gynaecology
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Melbourne,FFP,6.96,-,59,68,83,70,,GAMSAT,Bachelor of Biomedicine,International,None,No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,Monash University,Yes,1,Monash University,Monash University,CSP,6.97,87.22,N/A,N/A,N/A,N/A,,GAMSAT,Bachelor of Science Advanced - Global Challenges (Honours),Local,None,No,0,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,Griffith University,No,4,University of Sydney,University of Queensland,CSP,6.63,-,61,75,82,75,,GAMSAT,Medical Science,Local,None,No,0,Non-Flinders degree holder,No,No,FRACP: Cardiology
Medical Student,2025,Deakin University,No,1,Deakin University,Deakin University,BMP,6.23,-,71,50,64,60,,GAMSAT,Biomedical Science,Local,None,Yes,6,Non-Flinders degree holder,No,No,FRACS: Plastic and Reconstructive Surgery
Medical Student,2025,University of Western Australia,No,1,University of Western Australia,University of Western Australia,CSP,6.83,-,58,67,77,70,,GAMSAT,Bachelor of Biomedical Science,Local,None,No,0,Non-Flinders degree holder,No,No,FANZCA: Anaesthesia
Medical Student,2025,Deakin University,No,1,Deakin University,University of Sydney,CSP,6.54,-,60,64,65,63,,GAMSAT,Music,Local,None,Yes,10,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,Griffith University,No,2,University of Queensland,University of Queensland,BMP,7,-,58,69,72,68,,GAMSAT,BPharm,Local,Honours,No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,Griffith University,No,1,Griffith University,Griffith University,CSP,6.96,-,66,65,78,72,,GAMSAT,Biomedical Science,Local,None,No,0,Non-Flinders degree holder,No,No,FRACP: Endocrinology
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Notre Dame Sydney,BMP,7,-,57,59,68,68,,GAMSAT,"Pre-medicine, Science and Health",Local,None,Yes,0,Non-Flinders degree holder,No,No,FRACP: Paediatric Emergency Medicine
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,BMP,5.63,-,52,74,58,61,,GAMSAT,Bachelor of Biomedicine (Honours),Local,Honours,Yes,8,Non-Flinders degree holder,No,Yes,FRACP: Neurology
Medical Student,2025,University of Sydney,No,1,University of Sydney,Macquarie University,CSP,5.45,-,65,79,78,75,,GAMSAT,Science,Local,Honours,No,0,Non-Flinders degree holder,No,No,Guitar rock star
Medical Student,2025,Flinders University,No,1,University of Queensland,Flinders University,BMP,6.49,-,62,67,95,79,,GAMSAT,Bachelor of Mathematics,Local,None,No,0,Non-Flinders degree holder,No,No,FRCPA: Forensic Pathology
Medical Student,2025,Flinders University,No,1,Flinders University,Flinders University,BMP,6,-,65,61,61,62,,GAMSAT,Medical Science,Local,Honours,No,0,Flinders University degree holder,No,No,FRANZCOG: Obstetrics and Gynaecology
Medical Student,2025,Flinders University,Yes,1,Flinders University,Flinders University,CSP,6.41,-,62,68,63,64,,GAMSAT,Health Sciences,Local,None,No,0,Flinders University degree holder,No,No,FRACP: Neurology
Medical Student,2025,Flinders University,Yes,1,Flinders University,Flinders University,CSP,6.56,-,54,69,78,70,,GAMSAT,Bachelor of Biotechnology (Med B.tech),Local,None,No,2,Flinders University degree holder,No,No,Guitar rock star
Medical Student,2025,Flinders University,Yes,1,Flinders University,Flinders University,MRBS,6.15,-,59,75,68,67,,GAMSAT,Bachelor of Medical Science,Local,None,No,0,Flinders University degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,BMP,5.67,-,58,52,66,61,,GAMSAT,Bachelor of Medical Mathematics,Local,None,Yes,4,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,University of Sydney,No,3,University of Melbourne,Griffith University,BMP,6.29,-,55,55,69,62,,GAMSAT,Physics,Local,None,Yes,4,Non-Flinders degree holder,No,Yes,Guitar rock star
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Wollongong,BMP,6.4,-,56,58,64,49,,GAMSAT,Biomedical Science,International,Honours,Yes,8,Non-Flinders degree holder,No,No,FRACP: Endocrinology
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Melbourne,CSP,6.25,-,69,78,88,78,,GAMSAT,Bachelor of Biomedicine,Local,Honours,No,0,Non-Flinders degree holder,No,Yes,FANZCA: Anaesthesia
Medical Student,2025,University of Sydney,No,1,University of Sydney,Griffith University,BMP,6.11,-,60,64,52,58,,GAMSAT,Bachelor of Medical Science,Local,None,Yes,0,Non-Flinders degree holder,No,No,FACEM: Emergency medicine
Medical Student,2025,University of Sydney,No,1,University of Sydney,University of Sydney,BMP,5,-,57,66,59,60,,GAMSAT,Medical Research,Local,None,Yes,0,Non-Flinders degree holder,No,No,FRACP: Neurology
Medical Student,2025,Flinders University,No,1,Flinders University,Flinders University,CSP,7,-,72,61,90,79,,GAMSAT,Bachelor of Psychology (honours),Local,Honours,No,10,Non-Flinders degree holder,No,No,FRACP: Neurology
Medical Student,2025,Flinders University,No,1,Flinders University,Flinders University,BMP,6,N/A,67,63,96,80,N/A,GAMSAT,B of Science,Local,Honours,No,0,Non-Flinders degree holder,No,No,FRACGP: General Practice
Medical Student,2025,Flinders University,Yes,1,Flinders University,Flinders University,BMP,5.86,-,N/A,N/A,N/A,62,,GAMSAT,Medical Science,Local,Honours,Yes,0,Parallel Rural Community Curriculum (PRCC),No,No,FACRRM: Rural and Remote Medicine (General Practice)
Medical Student,2025,University of Sydney,No,3,University of Queensland,University of Queensland,BMP,5.65,-,56,58,65,61,,GAMSAT,Bachelor of Health Sci,Local,None,Yes,8,Non-Flinders degree holder,No,Yes,FRACS: General Surgery
Medical Student,2025,University of Sydney,No,3,University of Queensland,University of Queensland,BMP,5.65,-,56,58,65,61,,GAMSAT,Bachelor of Health Sci,Local,None,Yes,8,Non-Flinders degree holder,No,Yes,FRACS: General Surgery
Medical Student,2025,University of Sydney,No,1,University of Queensland,University of Queensland,BMP,6.15,-,59,61,68,62,,GAMSAT,B Health Science,Local,None,Yes,0,Non-Flinders degree holder,No,No,FRACS: General Surgery
Medical Student,2025,Flinders University,Yes,1,Flinders University,Flinders University,CSP,6.35,-,61,88,53,63,,GAMSAT,Paramedic Science,Local,None,No,0,Flinders University degree holder,No,No,FRANZCOG: Obstetrics and Gynaecology
Medical Student,2025,University of Sydney,No,1,University of Sydney,Australian National University,BMP,5.81,-,50,64,66,61,,GAMSAT,Biomedicine,Local,None,Yes,0,Non-Flinders degree holder,No,No,FRACS: Plastic and Reconstructive Surgery
